,Train R²,Test R²,Train MAE,Test MAE,Train RMSE,Test RMSE
Linear Regression,0.8038948109490853,-1.7366382036503278,1.8985233830866577,6.619753394762332,2.3176002052170337,7.928600255381784
Ridge Regression,0.5716719792596853,-1.3404997254091104,2.878254680059366,5.3851436017505305,3.425170706518247,7.3323320934621785
Random Forest,0.8797749461761932,-0.1965968431338163,1.558921719438527,4.1730654793887965,1.814644129148384,5.242781469693546
Neural Network,0.6642410511538066,-9.247901381250834,2.0796358482131225,10.719941578587699,3.032548645658891,15.342823819525238
