,Train R²,Test R²,Train MAE,Test MAE,Train RMSE,Test RMSE
Linear Regression,0.2812703220616397,-2.629708654070068,0.03428556965509978,0.08084573642247156,0.043079864560711605,0.110517874340349
Ridge Regression,0.518031853178469,-1.5810235943105364,0.02807123329782283,0.0725411171598194,0.035277736214673165,0.09319500310439588
Random Forest,0.884013233476998,-0.44893644581100123,0.014702285054477104,0.054672028455833056,0.017305962599654626,0.06982666627990773
Neural Network,0.8807035780314193,-4.8456400519358365,0.013336739352249988,0.11788667809504423,0.01755113671672955,0.14025316639406804
