,Train R²,Test R²,Train MAE,Test MAE,Train RMSE,Test RMSE
Linear Regression,0.5045624324586042,-4.5130222002975495,0.03232029370328454,0.06831795692633703,0.0409287970949028,0.08554842113835458
Ridge Regression,0.31033097798980014,-1.6496467625374645,0.03386961698155598,0.03951175499706885,0.048289740660734375,0.05930770490286554
Random Forest,0.7954263006340986,-2.411608198934782,0.020153956584801118,0.050456382618738624,0.026300221905319644,0.06729715469679179
Neural Network,0.7361921662585085,-14.876277029553954,0.02154227052224955,0.12211504502290263,0.02986608916360788,0.14517487549939753
